name,company_number,status,type,address,founded_on,search_keyword,country,priority_score,tags
EQUITY DEVELOPMENTS (EDL) LTD,06256540,active,ltd,"4a Hill Drive, London, England, SW16 4NP",2007-05-23,Equity,UK,40,
ADVENT PRIVATE EQUITY FUND III 'B',LP007160,active,limited-partnership,"27 Beak Street, London, W1F 9RU",2000-10-13,Private Equity,UK,40,
ADVENT PRIVATE EQUITY FUND II 'A',LP005765,active,limited-partnership,"158-160 North Gower Street, London, NW1 2ND",1998-04-21,Private Equity,UK,40,
ADVENT PRIVATE EQUITY FUND II 'B',LP005766,active,limited-partnership,"158-160 North Gower Street, London, NW1 2ND",1998-04-21,Private Equity,UK,40,
ADVENT PRIVATE EQUITY FUND II 'C',LP005811,active,limited-partnership,"158-160 North Gower Street, London, NW1 2ND",1998-06-30,Private Equity,UK,40,
ADVENT PRIVATE EQUITY FUND II 'D',LP006087,active,limited-partnership,"158-160 North Gower Street, London, NW1 2ND",1999-01-25,Private Equity,UK,40,
AFO RESOURCES (UK) LTD,09998066,active,ltd,"25 Bovey Way, South Ockendon, England, RM15 5BS",2016-02-10,Family OfficeNatural Resources,UK,40,
AFRICAN RESOURCES VENTURE LIMITED,12973681,active,ltd,"111 Fourth Avenue, Luton, United Kingdom, LU3 3BT",2020-10-26,Family OfficeNatural Resources,UK,40,
COMMODITIES AI LTD,11812159,active,ltd,"128 City Road, London, United Kingdom, EC1V 2NX",2019-02-07,Commodities,UK,40,
ABACUS CREATIVE RESOURCES LTD,14061541,active,ltd,"Unit 8 Oakwood Way, Carnforth Business Park, Carnforth, Lancashire, England, LA5 9FD",2022-04-22,Family OfficeNatural Resources,UK,40,
ADAPTIVE RESOURCES UK LTD,16994701,active,ltd,"4 More London, Riverside, London, United Kingdom, SE1 2AU",2026-01-28,Family OfficeNatural Resources,UK,40,
ADEBOSSAR GLOBAL RESOURCES LIMITED,14925873,active,ltd,"75 Whitmore Avenue, Grays, England, RM16 2HX",2023-06-09,Family OfficeNatural Resources,UK,40,
ADETEM GLOBAL RESOURCES LIMITED,15542585,active,ltd,"124 City Road, London, England, EC1V 2NX",2024-03-06,Family OfficeNatural Resources,UK,40,
INVEST AND FUND LIMITED,08277803,active,ltd,"117 Piccadilly Piccadilly, London, England, W1J 7JU",2012-11-01,Invest,UK,40,
A501 RESOURCES LIMITED,15113769,active,ltd,"Banner House, 29 Byron Road, Harrow, England, HA1 1JR",2023-09-04,Family OfficeNatural Resources,UK,40,
ABAMUS CORPORATE RESOURCES LIMITED,15478926,active,ltd,"31 Lamport Close, London, England, SE18 5PY",2024-02-10,Family OfficeNatural Resources,UK,40,
ABARAK RESOURCES LIMITED,16062708,active,ltd,"10 Marlow Copse, Chatham, England, ME5 9DP",2024-11-05,Family OfficeNatural Resources,UK,40,
ABBEY FACILITIES AND RESOURCES LIMITED,09750131,active,ltd,"Highland House, Mayflower Close, Chandlers Ford, Hampshire, United Kingdom, SO53 4AR",2015-08-26,Family OfficeNatural Resources,UK,40,
AC RAIL RESOURCES LTD,11533881,active,ltd,"Searches Farm, Searches Lane, Bedmond, Watford, England, WD5 0SB",2018-08-23,Family OfficeNatural Resources,UK,40,
ACR AVIATION CAPACITY RESOURCES UK LTD,16577708,active,ltd,"1 Chapel Street, Warwick, United Kingdom, CV34 4HL",2025-07-11,Family OfficeNatural Resources,UK,40,
ACRUX RESOURCES (UK) LIMITED,14754172,active,ltd,"16 The Mall, Surbiton, England, KT6 4EQ",2023-03-24,Family OfficeNatural Resources,UK,40,
ACTIVE CARE RESOURCES LTD,09431755,active,ltd,"87 The Green The Green, Wednesbury, West Midlands, United Kingdom, WS10 8JS",2015-02-10,Family OfficeNatural Resources,UK,40,
ACTIVE HUMAN RESOURCES LTD,11938217,active,ltd,"Unit 8 Chestnut Drive, Wymondham, Norfolk, England, NR18 9SB",2019-04-10,Family OfficeNatural Resources,UK,40,
ALDWYCH NOMINEES LIMITED,02446027,active,ltd,"125 Wood Street, London, EC2V 7AW",1989-11-23,Nominees,UK,40,
ALDER NOMINEES LIMITED,08264548,active,ltd,"1 Carey Lane, London, England, EC2V 8AE",2012-10-23,Nominees,UK,40,
AI SEED NOMINEES LIMITED,07244752,active,ltd,"First Floor, 12/14 Masons Avenue, London, United Kingdom, EC2V 5BT",2010-05-06,Nominees,UK,40,
ABOABI RESOURCES LTD,16061805,active,ltd,"135 Victor Close, Hornchurch, England, RM12 4XU",2024-11-05,Family OfficeNatural Resources,UK,40,
ABLY RESOURCES HOLDINGS LIMITED,SC523176,active,ltd,"3rd Floor 16 Gordon Street, Glasgow, Scotland, G1 3PT",2015-12-23,Family OfficeNatural Resources,UK,40,
ADAPTA RESOURCES LTD,15951834,active,ltd,"53 Surrey Street, Doncaster, England, DN4 8HZ",2024-09-11,Family OfficeNatural Resources,UK,40,
ABODE RESOURCES LIMITED,16201799,active,ltd,"137 Hallowell Road, Northwood, Middlesex, England, HA6 1DZ",2025-01-22,Family OfficeNatural Resources,UK,40,
GIDZ LTD,03273431,active,ltd,"1 Bay Villas, Green Street, Sunbury On Thames, TW16 6QH",1996-11-04,Investment,UK,40,
ABUNDANCE RESOURCES LTD,16839940,active,ltd,"50 Heathbank Road, Manchester, England, M9 0NA",2025-11-07,Family OfficeNatural Resources,UK,40,
INVESTMENT AND SECURITIES TRUST LIMITED,00409591,active,ltd,"46 Suite 3, Crawford Street, London, W1H 1JU",1946-05-02,Investment,UK,40,
ACRE NOMINEES 2 LIMITED,02658496,active,ltd,"Acre House, 11-15 William Road, London, NW1 3ER",1991-10-29,Nominees,UK,40,
ALPHA FMC GROUP NOMINEES LTD,08936452,active,ltd,"60 Gresham Street, London, EC2V 7BB",2014-03-12,Nominees,UK,40,
ABSHEG DYNAMIC RESOURCES LIMITED,16369327,active,ltd,"38 Skye Edge Road, Sheffield, England, S2 5HB",2025-04-07,Family OfficeNatural Resources,UK,40,
AKA NOMINEES LIMITED,08721733,active,ltd,"43 The Ridgeway, Golders Green, London, NW11 8QP",2013-10-07,Nominees,UK,40,
ABSOLUTELY HUMAN RESOURCES LIMITED,SC822727,active,ltd,"16 Society Road, South Queensferry, Scotland, EH30 9RX",2024-09-13,Family OfficeNatural Resources,UK,40,
ALS & AL NOMINEES LIMITED,04255072,active,ltd,"6 Porter Street, London, W1U 6DD",2001-07-19,Nominees,UK,40,
MINERAL PRODUCTS LIMITED,00129038,active,ltd,"12 Little Portland Street, 2nd Floor, London, England, W1W 8BJ",1913-05-19,Mineral,UK,40,
ACJ RESOURCES LIMITED,16225768,active,ltd,"Middleborough House, 16 Middleborough, Colchester, England, CO1 1QT",2025-02-03,Family OfficeNatural Resources,UK,40,
AC HEALTHCARE RESOURCES LIMITED,10642562,active,ltd,"Flat 8 Grantham Towers, Leeds, West Yorkshire, United Kingdom, LS9 7PD",2017-02-28,Family OfficeNatural Resources,UK,40,
ACE RESOURCES LTD,12019760,active,ltd,"Office 4 Roebuck House 2-3 Cromwell Centre, Hainault Business Park, Ilford, England, IG6 3UT",2019-05-28,Family OfficeNatural Resources,UK,40,
ACER RESOURCES LTD,14206512,active,ltd,"The Old Rectory The Green, Redgrave, Diss, Suffolk, England, IP22 1RR",2022-06-30,Family OfficeNatural Resources,UK,40,
ACHARYA RESOURCES LTD,16675001,active,ltd,"11 Clyde Drive, Thetford, England, IP24 2FH",2025-08-27,Family OfficeNatural Resources,UK,40,
ACRE NOMINEES LIMITED,05605048,active,ltd,"Acre House, 11/15 William Road, London, NW1 3ER",2005-10-27,Nominees,UK,40,
ABOGADO NOMINEES LIMITED,01688036,active,ltd,"C/O Company Secretarial Department, 280 Bishopsgate, London, United Kingdom, EC2M 4AG",1982-12-21,Nominees,UK,40,
ABCINT NOMINEES LIMITED,01855017,active,ltd,"1-5 Moorgate, London, EC2R 6AB",1984-10-12,Nominees,UK,40,
MINERALS CENTURY LTD,06267100,active,ltd,"Carlyle House, Lower Ground Floor, 235-237 Vauxhall Bridge Road, London, England, SW1V 1EJ",2007-06-04,Mineral,UK,40,
EQUITY LTD,06872564,active,ltd,"167-169 Great Portland Street, 5th Floor, London, England, W1W 5PF",2009-04-07,Equity,UK,40,
MINERAL PRODUCTS ASSOCIATION LIMITED,01634996,active,private-limited-guarant-nsc,"1st Floor 297 Euston Road, London, United Kingdom, NW1 3AD",1982-05-12,Mineral,UK,40,
MINERAL PRODUCTS ASSOCIATION RESTORATION GUARANTEE FUND LIMITED,01213666,active,private-limited-guarant-nsc,"1st Floor 297 Euston Road, London, United Kingdom, NW1 3AD",1975-05-23,Mineral,UK,40,
COMMODITIES WORLDWIDE UK HOLDING LIMITED,12972680,active,ltd,"128 City Road, London, England, EC1V 2NX",2020-10-23,Commodities,UK,40,
EQUITY CORPORATE INVESTMENT LTD,05482845,active,ltd,"3rd Floor 86-90 Paul Street, London, United Kingdom, EC2A 4NE",2005-06-16,Equity,UK,40,
COMMODITIES BRAIN LIMITED,14998826,active,ltd,"The Old Rectory, Church Street, Weybridge, Surrey, England, KT13 8DE",2023-07-12,Commodities,UK,40,
AMIAN PROPERTY & INVESTMENT COMPANY LIMITED,00724148,active,ltd,"14th Floor 33 Cavendish Square, London, United Kingdom, W1G 0PW",1962-05-16,Investment Company,UK,40,
COMMODITIES DIRECT LIMITED,11383627,active,ltd,"Archer House Britland Estate, Northbourne Road, Eastbourne, East Sussex, United Kingdom, BN22 8PW",2018-05-25,Commodities,UK,40,
FRONTIER COMMODITIES LTD,11372710,active,ltd,"14 Elstree Hill, Bromley, England, BR1 4JE",2018-05-21,Mining,UK,40,
EQUITY COLLEGE,09204791,active,private-limited-guarant-nsc-limited-exemption,"167-169 Great Portland Street, 5th Floor, London, England, W1W 5PF",2014-09-05,Equity,UK,40,
ADVENT PRIVATE EQUITY FUND III AFFILIATES,LP007436,active,limited-partnership,"27 Beak Street, London, W1F 9RU",2001-02-19,Private Equity,UK,40,
ADVENT PRIVATE EQUITY FUND III 'D',LP007162,active,limited-partnership,"27 Beak Street, London, W1F 9RU",2000-10-13,Private Equity,UK,40,
ADVENT PRIVATE EQUITY FUND III 'C',LP007159,active,limited-partnership,"27 Beak Street, London, W1F 9RU",2000-10-13,Private Equity,UK,40,
COMMODITIES GLOBAL LINK LIMITED,17027678,active,ltd,"81 Fawcett Road, Southsea, England, PO4 0DB",2026-02-11,Commodities,UK,40,
ABN AMRO GLOBAL NOMINEES LIMITED,02054107,active,ltd,"5 Aldermanbury Square, London, EC2V 7HR",1986-09-10,Nominees,UK,40,
A.B.F. NOMINEES LIMITED,01138539,active,ltd,"Weston Centre, 10 Grosvenor Street, London, W1K 4QY",1973-10-08,Nominees,UK,40,
ADDLESHAW GODDARD NOMINEES LIMITED,00717344,active,ltd,"41 Lothbury, London, United Kingdom, EC2R 7HG",1962-03-08,Nominees,UK,40,
ABBEY STOCKBROKERS (NOMINEES) LIMITED,02832344,active,ltd,"2 Triton Square, Regent's Place, London, United Kingdom, NW1 3AN",1993-07-01,Nominees,UK,40,
ABBEY NATIONAL NOMINEES LIMITED,02516674,active,ltd,"2 Triton Square, Regent's Place, London, NW1 3AN",1990-06-28,Nominees,UK,40,
EQUITY ASSET MANAGEMENT LTD,09120883,active,ltd,"223 Wimbledon Park Road, London, England, SW18 5RH",2014-07-08,Equity,UK,40,Crypto-Alt-Assets; Diversification
ASSET SURVEYORS LTD,09219350,active,ltd,"73 Dalebrook Road, Somerford, Congleton, England, CW12 4YD",2014-09-15,Asset Management,UK,40,
ACCESSIBLE RESOURCES LTD,NI691258,active,ltd,"13 Lisbane Road, Scarva, Craigavon, Northern Ireland, BT63 6LN",2022-09-20,Family OfficeNatural Resources,UK,40,
ACKERGIL RESOURCES LTD,16264998,active,ltd,"141 Somerset Gardens, Creighton Road, London, United Kingdom, N17 8JX",2025-02-20,Family OfficeNatural Resources,UK,40,
VCP ADVISORS LIMITED,06817064,active,ltd,"28 Eccleston Square, London, SW1V 1NZ",2009-02-12,Venture Capital,UK,40,
ABACO GLOBAL RESOURCES LTD,10874367,active,ltd,"33 Abingdon Mansions Pater Street, London, England, W8 6AB",2017-07-19,Family OfficeNatural Resources,UK,40,
A CLASS RESOURCES LIMITED,15633308,active,ltd,"21 Spencer Road, Bournemouth, England, BH1 3TE",2024-04-10,Family OfficeNatural Resources,UK,40,
AARVI ENCON RESOURCES LTD,11238637,active,ltd,"Mamta Services Ltd, 43 Cody Close, Harrow, England, HA3 9ES",2018-03-07,Family OfficeNatural Resources,UK,40,
A&S RESOURCES LIMITED,09689714,active,ltd,"Unit 7- 8 Manor Court, Eastfield, Scarborough, North Yorkshire, England, YO11 3TU",2015-07-16,Family OfficeNatural Resources,UK,40,
ACCESS SUPPORT AND RESOURCES LTD,13174226,active,ltd,"110 Barnfield Gardens, London, England, SE18 3QY",2021-02-02,Family OfficeNatural Resources,UK,40,
ABLOS RESOURCES UK LTD,15146164,active,ltd,"6 Wordsworth Garden Wordsworth Gardens, 6, Pontypridd, Wales, CF37 5HG",2023-09-18,Family OfficeNatural Resources,UK,40,
ADRIANA FLORINA HEALTHCARE RESOURCES LIMITED,10763925,active,ltd,"17 Heathfield Drive, Knaresborough, England, HG5 0DL",2017-05-10,Family OfficeNatural Resources,UK,40,
INVEST AFRICA LIMITED,08151648,active,ltd,"Devonshire House, 1 Mayfair Place, London, United Kingdom, W1J 8AJ",2012-07-20,Invest,UK,40,
INVEST AND TRADE LTD,05881191,active,ltd,"78 York Street, London, England, W1H 1DP",2006-07-19,Invest,UK,40,
ADVANCED THINKING RESOURCES LIMITED,15749418,active,ltd,"Langley House, 53 Theobald Street, Borehamwood, England, WD6 4RT",2024-05-29,Family OfficeNatural Resources,UK,40,
ADUPRESH RESOURCES LTD,15622932,active,ltd,"212 Limeside Road, Oldham, England, OL8 3LE",2024-04-06,Family OfficeNatural Resources,UK,40,
INVESTMENT CASTINGS (CONGLETON) LIMITED,02247501,active,ltd,"Greenfield Industrial Estate, Back Lane, Congleton, Cheshire,, CW12 4TR",1988-04-25,Investment,UK,40,
ELEVATE LONDON LIMITED,07891256,active,ltd,"60 Hardy Road, London, SW19 1HZ",2011-12-23,Wealth Management,UK,40,
ADVANCED INDUSTRIES STRATEGIC RESOURCES LIMITED,15476693,active,ltd,"20 Argent Way, Sittingbourne, Kent, ME10 5JX",2024-02-09,Family OfficeNatural Resources,UK,40,
ADVANCED MEDICAL RESOURCES LIMITED,15700455,active,ltd,"The Laurels Chatteris Road, Warboys, Huntingdon, England, PE28 2UG",2024-05-02,Family OfficeNatural Resources,UK,40,
CAPITAL LTD,05435865,active,ltd,"4385, 05435865 - COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH",2005-04-26,Capital,UK,35,
ADAXIA CAPITAL PRIVATE EQUITY (GP) LIMITED,06258515,active,ltd,"Dawes Road Hub C/O Adaxia Capital Partners, 20 Dawes Road, London, United Kingdom, SW6 7EN",2007-05-24,Private Equity,UK,35,
AIB FIRST PRIVATE EQUITY SCOTTISH LIMITED PARTNERSHIP,SL006374,active,limited-partnership,"10 Molesworth Street, Dublin 2, Ireland",2007-12-31,Private Equity,UK,35,
ALPHA VENTURE PARTNERS LTD,07068694,active,ltd,"Wilberforce House, Station Road, London, NW4 4QE",2009-11-06,Venture Partners,UK,35,
VENTURE PARTNERS LIMITED,01940787,active,ltd,"109 Old Street, London, EC1V 9JR",1985-08-21,Venture Partners,UK,35,
COMMUNITY VENTURES PARTNERSHIPS LIMITED,07584165,active,ltd,"Geneva Court, Leads Road, Hull, England, HU7 0DG",2011-03-30,Venture Partners,UK,35,
CAPITAL A LIST LIMITED,08658967,active,ltd,"128 City Road, London, England, EC1V 2NX",2013-08-21,Capital,UK,35,
CAPITAL ALLIANCE LIMITED,03800858,active,ltd,"61a High Street South, Rushden, England, NN10 0RA",1999-07-05,Capital,UK,35,
EQUITY AVIATION PARTNERS LIMITED,SC263284,active,ltd,"Sallochy House, Rowardennan, Drymen, Glasgow, G63 0AW",2004-02-11,Equity,UK,35,
CAPITAL ABRASIVES LIMITED,01941764,active,ltd,"Industrial Unit 5a, Hawley Road, Hinckley, Leicestershire, LE10 0PR",1985-08-27,Capital,UK,35,
CAPITAL AGE ARTS LTD.,05369704,active,private-limited-guarant-nsc,"105a Fortess Road, London, United Kingdom, NW5 2HR",2005-02-18,Capital,UK,35,
CAPITAL AEROSPACE LIMITED,04275879,active,ltd,"30b Southgate, Chichester, West Sussex, PO19 1DP",2001-08-23,Capital,UK,35,
CAPITAL AERIALS LLP,OC373340,active,llp,"Second Floor, 3 Liverpool Gardens, Worthing, West Sussex, England, BN11 1TF",2012-03-14,Capital,UK,35,
CAPITAL ACADEMY OF SPORT LIMITED,07883235,active,ltd,"Unit 7-8 Western Business Centre Riverside Terrace, Cowbridge Road East, Cardiff, United Kingdom, CF5 5AS",2011-12-15,Capital,UK,35,
CAPITAL ADVISERS LIMITED,09132078,active,ltd,"71-75 Shelton Street, Covent Garden, London, WC2H 9JQ",2014-07-15,Capital,UK,35,
CAPITAL A ARCHITECTURE LIMITED,SC374502,active,ltd,"8 Cameron Drive, Falkland, Cupar, Fife, KY15 7DL",2010-03-10,Capital,UK,35,
CAPITAL ACE LIMITED,03840345,active,ltd,"47b High Street, Ongar, Essex, England, CM5 9DT",1999-09-13,Capital,UK,35,
PRIVATE EQUITY CAPITAL ADVISERS LIMITED,06323051,active,ltd,"Room 2b01 South Bank Technopark, 90 London Road, London, England, SE1 6LN",2007-07-25,Private Equity,UK,35,
CAPITAL ACCOUNTS LIMITED,05490720,active,ltd,"283 Church Street, Church Street, Blackpool, England, FY1 3PG",2005-06-24,Capital,UK,35,
CAPITAL A LIMITED,07046218,active,ltd,"C/O Kishens Limited,, 13 Montpelier Avenue, Bexley, England, DA5 3AP",2009-10-16,Capital,UK,35,
CAPITAL ACCESS GROUP LIMITED,03510657,active,ltd,"32 Cornhill, London, England, EC3V 3SG",1998-02-16,Capital,UK,35,
CAPITAL ACCESS FLOORS LIMITED,09312968,active,ltd,"10 Clintons Green, Bracknell, England, RG42 1YL",2014-11-17,Capital,UK,35,
CAPITAL ACCOUNTING SOLUTIONS LTD,06756177,active,ltd,"1st Floor 277-279 Bethnal Green Road, London, E2 6AH",2008-11-24,Capital,UK,35,
AVIVA INVESTORS PRIVATE EQUITY PROGRAMME 2008 PARTNERSHIP,SL006389,active,limited-partnership,"Pitheavlis, Perth, PH2 0HN",2008-01-24,Private Equity,UK,35,
CAPITAL ACCOUNTING WORKS LTD,07182150,active,ltd,"Suite 3 First Floor, Ebury Business Centre 161-163 Staines Road, Hounslow, London, TW3 3JZ",2010-03-09,Capital,UK,35,
CAPITAL AIR SERVICES LIMITED,02980781,active,ltd,"C/O Oxford Air Services, Oxford Airport, Kidlington, Oxon., OX5 1RA",1994-10-19,Capital,UK,35,
CAPITAL ACCOUNTING & REPORTING LIMITED,04424691,active,ltd,"C/O Norman Brisk & Co, Bank Chambers Canterbury Road, Lyminge Folkestone, Kent, CT18 8HU",2002-04-25,Capital,UK,35,
CAPITAL ACCOUNTING AND TAXATION LIMITED,09301775,active,ltd,"15 Darville Road, London, N16 7PT",2014-11-07,Capital,UK,35,
CAPITAL ACCOUNTING LIMITED,04038236,active,ltd,"17 Aintree Drive, Cowplain Waterlooville, Hampshire, PO7 8NG",2000-07-21,Capital,UK,35,
CAPITAL AIR CONDITIONING (WALES) LIMITED,07747855,active,ltd,"24 Glan-Y-Nant Terrace, Cardiff, Wales, CF14 1AN",2011-08-22,Capital,UK,35,
CAPITAL ANALYTICAL LTD,03301501,active,ltd,"Unit 6 Dolly Lane, Leeds, England, LS9 7AS",1997-01-13,Capital,UK,35,
CAPITAL ALLIANCE FINANCIAL SERVICES LTD,04807770,active,ltd,"Suite 112 1 Hanley Street, Nottingham, East Midlands, NG1 5BL",2003-06-23,Capital,UK,35,
CAPITAL ANALYTICS PARTNERS LLP,OC374941,active,llp,"Reaver House Suite 9 12 East Street, Epsom, Surrey, England, KT17 1HX",2012-05-03,Capital,UK,35,
CAPITAL ANALYSIS LIMITED,07641694,active,ltd,"Ridgeway House, Fishguard Road, Haverfordwest, Wales, SA62 4BT",2011-05-20,Capital,UK,35,
CAPITAL ALUMINIUM EXTRUSIONS LIMITED,03218112,active,ltd,"Parkway House Unit 6 Parkway Industrial Estate Pacific Avenue, Wednesbury, West Midlands, United Kingdom, WS10 7WP",1996-06-28,Capital,UK,35,
CAPITAL ALLOWANCES SOLUTIONS LIMITED,08306846,active,ltd,"5 Maythorn Gardens, Codsall, Wolverhampton, West Midlands, WV8 1GQ",2012-11-26,Capital,UK,35,
CAPITAL ADVISORY SERVICES LIMITED,05453096,active,ltd,"5 Shirehall Gardens, London, England, NW4 2QT",2005-05-16,Capital,UK,35,
CAPITAL ADVISORY PARTNERS LIMITED,05694364,active,ltd,"Sandhurst House 297 Yorktown Road, College Town, Sandhurst, Berkshire, GU47 0QA",2006-02-01,Capital,UK,35,
INVESTMENT CAPITAL (UK) LTD,05940541,active,ltd,"71 Shelton Street Shelton Street, London, England, WC2H 9JQ",2006-09-20,Investment,UK,35,
MINERAL & CHEMICAL PRODUCTS & PARTNERS,SL002550,active,limited-partnership,"50 Lothian Road, Festival Square, Edinburgh, EH3 9WJ",1994-08-16,Mineral,UK,35,
CAPITAL ALLOCATION LIMITED,02626075,active,ltd,"9 Westward Way, Kenton,, Harrow, Middx, HA3 0SE",1991-07-03,Capital,UK,35,
CAPITAL ALLIANCE PARTNERS LIMITED,05053869,active,ltd,"Inchmead Suite, 100 Berkshire Place, Winnersh, Wokingham, United Kingdom, RG41 5RD",2004-02-24,Capital,UK,35,
CAPITAL ALLOWANCE REVIEW SERVICE LIMITED,08737153,active,ltd,"Lake View Festival Way, Festival Park, Stoke-On-Trent, Staffordshire, England, ST1 5BJ",2013-10-17,Capital,UK,35,
EQUITY AND GRANT PARTNERS LTD,09210156,active,ltd,"4 Roland Avenue, Runcorn, WA7 4TT",2014-09-09,Equity,UK,35,
CAPITAL AND CENTRIC LIMITED,00752098,active,ltd,"Capital & Centric, Ground Floor Neptune Mill, 64 Chapeltown Street, Manchester, England, M1 2WQ",1963-03-04,Capital,UK,35,
CAPITAL ADVISORY GROUP (UK) LIMITED,08106539,active,ltd,"Yew Tree Farm, Eagle Barnsdale, Lincoln, England, LN6 9EA",2012-06-14,Capital,UK,35,
CAPITAL AIRCONDITIONING LIMITED,06145951,active,ltd,"45 Hoddesdon Industrial Centre, Pindar Road, Hoddesdon, Herts, England, EN11 0FF",2007-03-08,Capital,UK,35,
THE EURO VENTURES/ICG PARTNERSHIP,LP004825,active,limited-partnership,"62-63 Threadneedle Street, London",1995-03-11,Venture Partners,UK,35,
ASSENT VENTURES CAPITAL LTD,07311917,active,ltd,"One Croft Way, Finchley Road, London, England, NW3 7AG",2010-07-12,Venture Capital,UK,35,
APOLLO CAPITAL VENTURES LIMITED,07777219,active,ltd,"2nd Floor 145-157, St. John Street, London, EC1V 4PY",2011-09-16,Venture Capital,UK,35,
VENTURE CAPITAL FUNDING LIMITED,01858447,active,ltd,"C/O Foresight Group Llp The Shard, 32 London Bridge Street, London, United Kingdom, SE1 9SG",1984-10-25,Venture Capital,UK,35,
VENTURE CAPITAL EUROPE (INVESTMENTS) LIMITED,07226528,active,ltd,"71-75 Shelton Street, London, Greater London, United Kingdom, WC2H 9JQ",2010-04-17,Venture Capital,UK,35,
VENTURE CAPITAL (EUROPE) LTD,07877668,active,ltd,"71-75 Shelton Street, London, Greater London, United Kingdom, WC2H 9JQ",2011-12-09,Venture Capital,UK,35,
HARBOURVEST PARTNERS X AIF VENTURE L.P.,SL018257,active,limited-partnership,"50 Lothian Road, Festival Square, Edinburgh, EH3 9WJ",2014-10-06,Venture Partners,UK,35,
ATLANTIC VENTURE CAPITAL LIMITED,02779411,active,ltd,"Foxfield Rudry Road, Lisvane, Cardiff, Wales, CF14 0SN",1993-01-13,Venture Capital,UK,35,
DB VENTURE PARTNERS (EUROPE) 2000 LP,LP007305,active,limited-partnership,"Lime Grove House, Green Street, St Helier, Jersey, JE1 2ST",2000-12-18,Venture Partners,UK,35,
DB VENTURE PARTNERS (EUROPE) 2001 LP,LP007963,active,limited-partnership,"22 Grenville Street, St Helier, Jersey",2002-01-02,Venture Partners,UK,35,
DEARNE PARTNERSHIP VENTURE LIMITED,06172408,active,ltd,"Dearne Renaissance Centre, Priory Road Bolton Upon Dearne, Rotherham, South Yorkshire, S63 8AE",2007-03-20,Venture Partners,UK,35,
HERALD VENTURES LIMITED PARTNERSHIP III,LP006456,active,limited-partnership,"10-11 Charterhouse Square, London, EC1M 6EE",1999-09-02,Venture Partners,UK,35,
HERALD VENTURES LIMITED PARTNERSHIP II,LP006455,active,limited-partnership,"10-11 Charterhouse Square, London, EC1M 6EE",1999-09-02,Venture Partners,UK,35,
ACT VENTURE CAPITAL (N.I.) LIMITED,NI029063,active,ltd,"Windsor Business Centre, 58 Howard Street, Belfast, BT1 6PJ",1994-12-19,Venture Capital,UK,35,
AXM VENTURE CAPITAL LIMITED,05089856,active,ltd,"57g Randolph Avenue, London, W9 1BQ",2004-03-31,Venture Capital,UK,35,
ACTION POTENTIAL VENTURE CAPITAL LIMITED,08603529,active,ltd,"Gsk Medicines Research Centre, Gunnels Wood Road, Stevenage, United Kingdom, SG1 2NY",2013-07-10,Venture Capital,UK,35,
ACTION VENTURE CAPITAL LTD,09246576,active,ltd,"21d Highgate Close, London, England, N6 4SD",2014-10-02,Venture Capital,UK,35,
ANDAINE VENTURE CAPITAL 1 LIMITED,07153724,active,ltd,"1 George Street, Snow Hill, Wolverhampton, WV2 4DG",2010-02-10,Venture Capital,UK,35,
VENTURE CAPITAL WORLD SUMMIT LTD,08662819,active,ltd,"26 Whitworth Court, Tudor Street, Cardiff, CF11 6AD",2013-08-27,Venture Capital,UK,35,
EUROPEAN VENTURE PARTNERS LP,LP005874,active,limited-partnership,"1 Kingsway, London, WC2B 6XF",1998-08-24,Venture Partners,UK,35,
VENTURE CAPITAL RESEARCH LTD,06631121,active,ltd,"68 High Street, Weybridge, England, KT13 8BL",2008-06-26,Venture Capital,UK,35,
CATALYST VENTURE PARTNERS LIMITED,03820008,active,ltd,"Paragon House, Lyncombe Vale, Road, Bath, Avon, BA2 4LS",1999-08-05,Venture Partners,UK,35,
INVESTMENT & FINANCIAL SOLUTIONS PARTNERSHIP LLP,OC359693,active,llp,"12 Torquay Road, Kingskerswell, Newton Abbot, England, TQ12 5EZ",2010-11-22,Investment,UK,35,
WHITE ROSE MASTER HOLDINGS LIMITED,15509517,active,ltd,"1 King's Arms Yard, C/O Wilmington Trust Sp Services (London) Limited, London, United Kingdom, EC2R 7AF",2024-02-21,Holdings,UK,25,
EQUITY BY DESIGN LTD,10125868,active,ltd,"1 Triton Square, London, England, NW1 3DX",2016-04-14,Equity,UK,25,
AKS NOMINEES LIMITED,12763857,active,ltd,"C/O A K S Advisers, 14-15 Lower Grosvenor Place, London, England, SW1W 0EX",2020-07-23,Nominees,UK,25,
HOLDINGSOFWORTHING LTD,17048578,active,ltd,"167-169 Great Portland Street, 5th Floor, London, England, W1W 5PF",2026-02-23,Holdings,UK,25,
MINERAL AXIS LTD,14778413,active,ltd,"8b Accommodation Road, London, England, NW11 8ED",2023-04-04,Mineral,UK,25,
MINERAL SOUND LTD,13850381,active,ltd,"Blake Tower, Floor Lg 12, Barbican, London, England, EC2Y 8AF",2022-01-14,Mineral,UK,25,
MINERALS INVESTMENT LP,LP020221,active,limited-partnership,"Unit 15110 5 Percy Street, Fitzrovia, London, United Kingdom, W1T 1DG",2019-05-09,Mineral,UK,25,
EQUITY BUILD FINANCE LTD,16135045,active,ltd,"85 Great Portland Street First Floor London, Great Portland Street, London, England, W1W 7LT",2024-12-13,Equity,UK,25,
